start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
FAA,ICAO,NAME,STATE,LATITUDE,LONGITUDE,ELEVATION
04CT,,SHINGLE MILL,CT,41.75510555555556,-73.0524,880.0
04FA,,RICHARDS FIELD,FL,25.558719166666666,-80.51505722222223,9.0
04FL,,CROSS CREEK FARMS,FL,29.239424722222225,-81.222005,30.0
04G,,LANSDOWNE,OH,41.130472222222224,-80.61958333333334,1044.0
04I,,COLUMBUS SOUTHWEST,OH,39.91117333333333,-83.18880138888889,920.0
04IA,,MIDDLEKOOP,IA,41.08835027777777,-92.05462027777777,801.0
04ID,,LANHAM FIELD,ID,43.87766416666666,-116.53708055555555,2343.0
04II,,TURKEY RUN,IN,41.130604444444444,-84.99413416666665,765.0
04IL,,SCHERTZ AERIAL SERVICE - HUDSON,IL,40.63753527777778,-89.00701888888888,755.0
04IN,,LAKE GAGE,IN,41.701388888888886,-85.11305555555556,954.0
04IS,,VAN GORDER,IL,40.178644722222224,-88.5689525,728.0
04KY,,NATCHEZ TRACE FARM,KY,37.13505361111111,-85.78941555555556,710.0
04LA,,ST JAMES,LA,30.051111111111112,-90.70222222222222,10.0
04LS,,LA NATIONAL GUARD,LA,30.446033333333332,-91.10515,52.0
04M,,CALHOUN COUNTY,MS,33.930083333333336,-89.34327777777777,387.0
04MA,,GODDARD,MA,42.80981138888889,-71.13922527777778,200.0
04MD,,CHESAPEAKE CITY,MD,39.51806666666667,-75.82145,40.0
04ME,,BEECH HILL,ME,44.66672861111111,-69.89394416666667,625.0
04MI,,RAPIDS AIRWAY,MI,42.53448111111111,-84.62831305555557,880.0
04MN,,HELBLAD,MN,47.98579222222222,-94.68691777777778,1195.0
04MS,,NICK'S FLYING SERVICE INC,MS,32.939571666666666,-90.83732194444444,100.0
04MT,,PLUHAR,MT,47.137497777777774,-106.488095,2715.0
04NC,,WAKEMED CARY HOSPITAL,NC,35.73916666666667,-78.78222222222222,445.0
04NE,,MC CONNELL FIELD,NE,41.15999333333333,-101.29905249999999,3035.0
04NJ,,EMMANUEL,NJ,39.59678111111111,-75.2335188888889,155.0
04NR,,MCGEE 04,NC,34.775555555555556,-77.39194444444445,40.0
04NV,,KINGSTON RANCH,NV,35.75553138888889,-115.66472805555556,2620.0
04NY,,KLAVERACK,NY,42.26230916666667,-73.69623305555555,250.0
04OG,,TEUFEL,OR,45.530833333333334,-123.08555555555556,185.0
04OK,,STILLWATER MEDICAL CENTER,OK,36.11532861111111,-97.07947944444444,984.0
04OR,,COLLINS LANDING STRIP,OR,44.749855277777776,-120.20112888888889,1500.0
04PA,,S & C DISTRIBUTION CENTER,PA,39.87927972222222,-75.22879277777777,50.0
04PN,,STRAWBRIDGE & CLOTHIER EXTON,PA,40.03066194444445,-75.63021,320.0
04SC,,EMERGENCY HELIPAD,SC,34.840555555555554,-82.60694444444445,994.0
04TA,,CAPITOL NATIONAL BANK BUILDING,TX,30.271041666666665,-97.7447275,540.0
04TE,,VETERANS AFFAIRS MEDICAL CENTER,TX,29.700229999999998,-95.3874388888889,49.0
04TN,,HENSLEY AIRPARK,TN,36.18333333333333,-82.67888888888889,1430.0
04TS,,HUMMINGBIRD,TX,30.553531666666668,-97.60611638888888,690.0
04TX,,POCOCK,TX,31.732222222222223,-97.36888888888889,565.0
04UT,,NAVAJO MOUNTAIN,UT,37.00832972222222,-110.79513666666668,6160.0
04V,,SAGUACHE MUNI,CO,38.09939444444445,-106.17432777777778,7850.0
04VA,,RUSSELL COUNTY MEDICAL CENTER,VA,36.897999999999996,-82.078,2004.0
04VG,,MANQUIN FLIGHT PARK,VA,37.71443333333333,-77.21181666666666,50.0
04VT,,LIGHTNING BOLT FIELD,VT,44.40111111111111,-72.26361111111112,2156.0
04W,,FIELD OF DREAMS,MN,46.02286811111111,-92.89517441666668,1021.0
04WA,,OX MEADOWS,WA,47.58183611111111,-117.4371525,2345.0
04WI,,DUTCH GAP AIRSTRIP,WI,42.523352499999994,-88.01674805555555,760.0
04WN,,STILLWATER CREEK,WA,46.95835833333333,-119.63881944444445,1510.0
04WV,,WEST VIRGINIA UNIV. HOSP. INC. GND. PAD #2,WV,39.65361111111111,-79.95611111111111,1137.0
04XA,,RICHARDSON RGNL - CAMPBELL ROAD,TX,35.97511388888889,-96.72608055555555,652.0
04XS,,SCHMIDTS,TX,32.58208055555556,-97.14251,625.0
04Y,,HAWLEY MUNI,MN,46.88377777777778,-96.35061111111112,1209.7
05AK,,WASILLA CREEK AIRPARK,AK,61.668661111111106,-149.18738888888888,620.0
05AL,,ALLEN STAGEFIELD AHP,AL,31.231175,-85.64970277777778,365.0
05AR,,OZARK SKIES AIRPARK,AR,36.00063333333333,-93.57025,1900.0
05AZ,,YUMA RGNL MEDICAL CENTER,AZ,32.68282611111111,-114.63439694444445,200.0
05B,,VAN BUREN,ME,47.15893194444445,-67.93196833333333,440.0
05C,,GRIFFITH-MERRILLVILLE,IN,41.519841,-87.39950797222221,634.0
05CA,,LOST HILLS SHERIFF'S STATION,CA,34.13777777777778,-118.71444444444444,888.0
05CL,,POPE VALLEY,CA,38.61073916666666,-122.3913675,618.0
05CO,,RANCHO DE AEREO,CO,40.214983888888895,-104.98442277777778,4978.0
05CT,,O AND G,CT,41.77370805555555,-73.11622111111112,600.0
05D,,NEW TOWN MUNI,ND,47.96695888888889,-102.47795777777777,1925.0
05FA,,MELANIE'S,FL,30.91888888888889,-86.21833333333333,295.0
05FD,,AVENTURA,FL,25.96092527777778,-80.13921194444444,6.0
05FL,,CHARLTON STRIP,FL,26.523055555555555,-81.40833333333333,36.0
05GA,,RAJU,GA,32.07138888888889,-84.71444444444444,625.0
05IA,,SPOTTS FIELD,IA,43.13746666666667,-93.06825666666667,1155.0
05ID,,RUNNING CREEK RANCH,ID,45.91408361111111,-114.83566055555556,2969.0
05IL,,CLASSIC LANDINGS,IL,41.16,-88.01666666666667,635.0
05IN,,COOPER,IN,39.64199083333333,-86.50416416666665,860.0
05KS,,DARBRO FIELD,KS,37.266172222222224,-95.95915,945.0
05KY,,CARTERSVILLE,KY,37.535555555555554,-84.40722222222222,1070.0
05LA,,GREG'S FLYING SERVICE,LA,32.265277777777776,-91.69777777777777,76.0
05LL,,MIDWEST,IL,41.74892,-87.93505888888889,710.0
05LS,,GRASS ROOTS,LA,31.252222222222223,-92.47583333333333,83.0
05MA,,BENTLEY,MA,42.69120388888889,-70.91227416666666,80.0
05MD,,BREEZECROFT,MD,39.25010833333334,-76.20522777777778,20.0
05ME,,DRISKO,ME,44.657021666666665,-67.55916,70.0
05MI,,OAKWOOD HERITAGE HOSPITAL,MI,42.23638888888889,-83.27638888888889,621.0
05N,,SOUTH OAKS AERODROME,NC,35.48218472222222,-77.35577430555554,50.0
05NC,,DEAD COW FIELD,NC,34.75944444444445,-76.64472222222223,11.0
05NE,,MC KAY,NE,41.722233055555556,-98.30895833333334,2010.0
05NH,,STUMPFIELD,NH,42.92388611111111,-70.95145,200.0
05NJ,,PAULUS HOOK PIER,NJ,40.713991111111106,-74.0315288888889,7.0
05NY,,OSWEGO COUNTY AT PULASKI,NY,43.55201388888889,-76.09020111111111,445.0
05OG,,DRILL FIELD PAD,OR,44.05953888888889,-123.11884722222221,415.0
05OI,,DORLON AIRPARK,OH,41.28838527777778,-81.96263944444443,830.0
