start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
AIRPORT,RUNWAY,LENGTH,LATITUDE,LONGITUDE,ELEVATION,WIDTH,LANDING_LATITUDE,LANDING_LONGITUDE,LANDING_ELEVATION
KKU,01,1200,,,,40,,,
KKU,19,1200,,,,40,,,
KEK,02,3319,59.35329347222222,-157.47669377777777,119.3,75,,,
KEK,20,3319,59.36038630555555,-157.4655843888889,140.9,75,,,
ERO,H1,70,,,33.0,70,,,
ERO,,70,,,,70,,,
PAEL,NW,10000,,,0.0,1500,,,
PAEL,SE,10000,,,0.0,1500,,,
PFEL,01,3401,64.61091597222222,-162.2758176111111,161.5,60,,,
PFEL,19,3401,64.61903358333333,-162.26526030555556,123.0,60,,,
MOS,06,3000,,,,60,,,
MOS,24,3000,,,,60,,,
1Z9,NW,8000,,,0.0,4000,,,
1Z9,SE,8000,,,0.0,4000,,,
PAEM,16,4601,62.792428,-164.49153491666667,16.2,100,,,
PAEM,34,4601,62.779867527777775,-164.48996530555553,16.2,100,,,
2Z1,N,5000,,,0.0,500,,,
2Z1,S,5000,,,0.0,500,,,
2Z2,16,1500,,,,35,,,
2Z2,34,1500,,,,35,,,
2Z3,08,950,64.04226997222221,-148.86607794444444,2817.0,40,,,
2Z3,26,950,64.04195836111111,-148.86019266666668,2817.0,40,,,
EXI,NW,1000,,,0.0,1000,,,
EXI,SE,1000,,,0.0,1000,,,
2Z5,E,3000,,,,300,,,
2Z5,W,3000,,,,300,,,
2Z5,N,5000,,,,300,,,
2Z5,S,5000,,,,300,,,
AK28,18,4700,,,,60,,,
AK28,36,4700,,,,60,,,
AK28,18W,4000,,,,200,,,
AK28,36W,4000,,,,200,,,
1AK9,H1,150,,,,100,,,
1AK9,,150,,,,100,,,
AK22,06,4000,,,,50,,,
AK22,24,4000,,,,50,,,
AK22,06W,3400,,,,100,,,
AK22,24W,3400,,,,100,,,
32AK,02,1410,,,,100,,,
32AK,20,1410,,,,100,,,
32AK,16,1600,,,,50,,,
32AK,34,1600,,,,50,,,
25AA,02,2400,,,,100,,,
25AA,20,2400,,,,100,,,
MTF,06,4600,,,,80,,,
MTF,24,4600,,,,80,,,
31AK,06,2400,,,,100,,,
31AK,24,2400,,,,100,,,
AK52,09,1320,,,,50,,,
AK52,27,1320,,,,50,,,
PAFB,07L,8575,64.83741666666667,-147.64201944444446,448.3,150,,,
PAFB,25R,8575,64.83781388888889,-147.58695833333334,453.5,150,,,
PAFB,07R,7280,64.8355,-147.64165,460.0,75,,,
PAFB,25L,7280,64.83585,-147.5948833333333,459.0,75,,,
2AK1,15,1530,,,,50,,,
2AK1,33,1530,,,,50,,,
2AK2,13,3988,,,,190,,,
2AK2,31,3988,,,,190,,,
PAAN,09,2558,64.19989513888889,-147.9354212222222,,17,,,
PAAN,27,2558,64.19620538888888,-147.92178369444446,,17,,,
PAEI,14,14530,64.68420833333333,-147.11791944444445,533.6,150,,,
PAEI,32,14530,64.64708055555555,-147.08495833333333,547.1,150,,,
83AK,16,1500,,,,80,,,
83AK,34,1500,,,,80,,,
PAFA,02,2900,64.81605561111111,-147.8465555,433.0,75,,,
PAFA,20,2900,64.82229566666666,-147.83507541666668,433.6,75,,,
PAFA,02L,11800,64.80263211111111,-147.88588438888888,435.6,150,64.8042468888889,-147.8829198888889,436.1
PAFA,20R,11800,64.82803077777778,-147.83920258333333,438.9,150,64.82641686111111,-147.84217233333334,438.9
PAFA,02R,6501,64.80023986111111,-147.87562141666666,433.2,100,,,
PAFA,20L,6501,64.81423297222221,-147.84990738888888,433.1,100,,,
PAFA,02W,5400,64.81611219444444,-147.85460811111113,423.4,100,,,
PAFA,20W,5400,64.82773191666666,-147.8332303611111,423.4,100,,,
2Z6,E,4000,,,0.0,500,,,
